variable,agg_method
ALBEDO,mean
CANWAT,mean
COL_QLIQUID,mean
COL_QSOLID,mean
COL_QVAPOR,mean
EMISS,mean
ET,mean
GRAUPEL,mean
GRDFLX,mean
HAIL,mean
HFX,mean
INTLIQUIDFLUX,mean
INTSOLIDFLUX,mean
INTVAPORFLUX,mean
LH,mean
LWDOWN,mean
LWUP,mean
NETRAD,mean
PBLH,mean
POTEVAP,mean
PRCP,mean
PRCP_C,mean
PRCP_FR,mean
PRCP_NC,mean
PSFC,mean
Q2,mean
QFX,sum
SCLD,mean
SCLDFRA,mean
SFROFF,sum
SLP,mean
SNOW,mean
SNOWFALL,mean
SNOWH,mean
SST,mean
SWDOWN,mean
SWUP,mean
T2,mean
T2ETA,mean
T2PBL,mean
TSK,mean
U_INTLIQUIDFLUX,mean
U_INTSOLIDFLUX,mean
U_INTVAPORFLUX,mean
U10,mean
UDROFF,sum
UST,mean
V_INTLIQUIDFLUX,mean
V_INTSOLIDFLUX,mean
V_INTVAPORFLUX,mean
V10,mean
W_INTLIQUIDFLUX,mean
W_INTSOLIDFLUX,mean
W_INTVAPORFLUX,mean
WS10,mean
